,0,OFFENCE,DAYS_SINCE
923,82,1,379.0
924,17,1,379.0
925,60,9,379.0
926,77,9,379.0
927,87,1,378.0
928,56,1,378.0
929,64,5,372.0
930,65,10,378.0
931,44,9,378.0
932,14,1,379.0
933,0,10,378.0
934,7,9,375.0
935,34,1,375.0
936,89,9,349.0
937,57,10,377.0
938,78,9,377.0
939,18,5,379.0
940,9,1,379.0
941,66,5,379.0
942,37,9,379.0
943,9,1,379.0
944,94,1,379.0
945,72,5,379.0
946,52,9,379.0
947,2,9,379.0
948,15,9,379.0
949,0,9,379.0
950,65,5,379.0
951,24,1,379.0
952,8,9,379.0
953,32,9,379.0
954,8,1,379.0
955,26,10,379.0
956,18,1,379.0
957,70,5,379.0
958,64,1,379.0
959,94,5,379.0
960,10,1,379.0
961,14,1,379.0
962,89,1,374.0
963,0,1,370.0
964,31,9,379.0
965,66,9,379.0
966,7,9,379.0
967,51,9,379.0
968,52,9,379.0
969,77,9,379.0
970,35,9,379.0
971,54,9,379.0
972,74,9,379.0
973,69,9,379.0
974,95,9,378.0
975,62,1,327.0
976,50,1,378.0
977,44,1,378.0
978,80,5,380.0
979,54,9,380.0
980,38,1,380.0
981,71,1,380.0
982,44,1,380.0
983,4,9,380.0
984,6,10,1.0
985,95,9,380.0
986,56,9,380.0
987,7,9,380.0
988,27,9,380.0
989,19,9,380.0
990,8,9,380.0
991,0,5,380.0
992,66,9,380.0
993,97,1,380.0
994,57,9,380.0
995,8,1,380.0
996,6,9,380.0
997,52,9,380.0
998,8,9,374.0
999,38,9,380.0
1000,9,9,380.0
1001,75,1,380.0
1002,75,1,380.0
1003,40,1,380.0
1004,43,5,375.0
1005,66,9,380.0
1006,4,1,380.0
1007,75,1,380.0
1008,96,9,380.0
1009,60,5,380.0
1010,47,5,380.0
1011,87,1,380.0
1012,5,9,380.0
1013,47,5,380.0
1014,47,5,380.0
1015,86,9,380.0
1016,3,1,380.0
1017,84,9,379.0
1018,4,10,380.0
1019,18,5,379.0
1020,57,9,380.0
1021,40,9,380.0
1022,18,9,378.0
1023,49,9,380.0
1024,99,1,380.0
1025,93,9,380.0
1026,12,1,380.0
1027,90,9,380.0
1028,18,9,380.0
1029,48,9,380.0
1030,36,1,379.0
1031,91,10,379.0
1032,9,5,379.0
1033,90,10,379.0
1034,77,9,379.0
1035,62,9,15.0
1036,60,9,380.0
1037,78,9,380.0
1038,42,1,380.0
1039,24,1,380.0
1040,75,5,347.0
1041,49,9,374.0
1042,28,9,376.0
1043,8,9,381.0
1044,80,1,381.0
1045,67,9,381.0
1046,91,9,381.0
1047,65,1,381.0
1048,59,9,375.0
1049,93,9,305.0
1050,68,9,371.0
1051,25,9,378.0
1052,25,5,378.0
1053,68,1,381.0
1054,6,1,380.0
1055,8,1,381.0
1056,75,9,381.0
1057,8,1,381.0
1058,17,9,381.0
1059,8,9,36.0
1060,95,9,381.0
1061,1,9,381.0
1062,4,1,381.0
1063,78,9,380.0
1064,83,9,381.0
1065,66,9,381.0
1066,60,9,381.0
1067,0,9,381.0
1068,91,5,381.0
1069,27,9,381.0
1070,52,9,381.0
1071,13,9,381.0
1072,25,1,381.0
1073,70,1,381.0
1074,56,5,381.0
1075,98,9,381.0
1076,13,1,381.0
1077,55,5,381.0
1078,27,1,381.0
1079,5,9,381.0
1080,69,1,381.0
1081,2,1,380.0
1082,68,5,381.0
1083,7,5,381.0
1084,25,1,380.0
1085,83,1,381.0
1086,50,1,381.0
1087,74,9,381.0
1088,57,1,381.0
1089,57,5,381.0
1090,35,9,380.0
1091,85,9,381.0
1092,39,1,380.0
1093,38,9,381.0
1094,35,1,381.0
1095,9,9,380.0
1096,1,9,381.0
1097,65,9,381.0
1098,51,9,381.0
1099,43,9,379.0
1100,96,1,380.0
1101,19,9,378.0
1102,39,9,378.0
1103,7,9,378.0
1104,81,1,380.0
1105,81,1,381.0
1106,57,1,381.0
1107,80,9,378.0
1108,60,1,377.0
1109,25,1,381.0
1110,43,1,381.0
1111,27,9,381.0
1112,57,9,381.0
1113,5,1,381.0
1114,13,1,365.0
1115,49,1,355.0
1116,50,1,347.0
1117,2,9,382.0
1118,17,5,382.0
1119,25,9,374.0
1120,23,1,382.0
1121,78,9,382.0
1122,5,9,382.0
1123,2,1,380.0
1124,84,9,380.0
1125,83,1,382.0
1126,23,10,380.0
1127,18,1,382.0
1128,6,1,382.0
1129,8,5,382.0
1130,26,9,382.0
1131,95,10,382.0
1132,33,9,382.0
1133,0,9,382.0
1134,15,5,382.0
1135,78,5,382.0
1136,83,1,382.0
1137,16,1,382.0
1138,98,1,382.0
1139,96,1,382.0
1140,77,9,382.0
1141,2,1,382.0
1142,98,1,380.0
1143,97,9,380.0
1144,7,9,382.0
1145,91,5,382.0
1146,54,9,382.0
1147,11,9,382.0
1148,3,1,382.0
1149,70,9,382.0
1150,19,5,382.0
1151,32,9,382.0
1152,67,10,382.0
1153,1,9,382.0
1154,13,9,382.0
1155,17,9,382.0
1156,81,9,382.0
1157,68,9,382.0
1158,10,5,382.0
1159,39,9,-243.0
1160,2,5,382.0
1161,34,1,382.0
1162,17,1,382.0
1163,67,9,382.0
1164,72,9,382.0
1165,17,9,382.0
1166,77,9,382.0
1167,0,9,382.0
1168,36,9,382.0
1169,64,9,382.0
1170,15,5,382.0
1171,27,9,382.0
1172,98,1,382.0
1173,18,9,382.0
1174,25,9,381.0
1175,8,10,376.0
1176,33,9,382.0
1177,2,5,382.0
1178,40,9,382.0
1179,91,1,382.0
1180,18,9,382.0
1181,80,10,156.0
1182,33,9,381.0
1183,8,1,381.0
1184,77,9,381.0
1185,89,1,381.0
1186,25,1,381.0
1187,33,9,381.0
1188,28,9,371.0
1189,66,1,375.0
1190,89,9,382.0
1191,57,9,368.0
1192,37,1,381.0
1193,15,1,381.0
1194,1,1,381.0
1195,82,1,382.0
1196,26,1,381.0
1197,91,1,381.0
1198,54,9,383.0
1199,65,9,383.0
1200,31,5,383.0
1201,25,9,383.0
1202,57,1,383.0
1203,35,1,383.0
1204,66,9,382.0
1205,68,1,382.0
1206,22,10,382.0
1207,52,1,382.0
1208,7,1,382.0
1209,56,1,382.0
1210,15,1,382.0
1211,6,1,382.0
1212,5,1,383.0
1213,39,1,383.0
1214,40,10,383.0
1215,95,9,383.0
1216,77,1,383.0
1217,5,9,383.0
1218,38,1,383.0
1219,25,1,383.0
1220,37,9,-670.0
1221,11,1,381.0
1222,16,1,383.0
1223,17,9,383.0
1224,18,9,383.0
1225,7,1,383.0
1226,16,1,383.0
1227,97,9,383.0
1228,14,5,381.0
1229,17,9,381.0
1230,68,1,383.0
1231,83,9,383.0
1232,57,9,383.0
1233,36,9,383.0
1234,0,1,383.0
1235,37,9,383.0
