,0
1779,17
1780,5
1781,26
1782,52
1783,54
1784,54
1785,33
1786,44
1787,27
1788,33
1789,68
1790,57
1791,97
1792,60
1793,38
1794,98
1795,50
1796,50
1797,25
1798,50
1799,35
1800,34
1801,22
1802,65
1803,19
1804,22
1805,62
1806,0
1807,0
1808,41
1809,57
1810,66
1811,96
1812,90
1813,30
1814,15
1815,72
1816,72
1817,42
1818,64
1819,83
1820,65
1821,0
1822,94
1823,14
1824,73
1825,95
1826,91
1827,69
1828,27
1829,54
1830,49
1831,52
1832,60
1833,72
1834,24
1835,64
1836,59
1837,60
1838,37
1839,27
1840,43
1841,75
1842,51
1843,97
1844,42
1845,85
1846,31
1847,0
1848,90
1849,64
1850,31
1851,59
1852,72
1853,91
1854,78
1855,35
1856,44
1857,3
1858,84
1859,0
1860,40
1861,12
1862,44
1863,44
1864,60
1865,95
1866,96
1867,2
1868,32
1869,10
1870,43
1871,22
1872,80
1873,37
1874,60
1875,18
1876,19
1877,77
1878,49
1879,60
1880,26
1881,7
1882,94
1883,28
1884,65
1885,95
1886,14
1887,80
1888,81
1889,78
1890,89
1891,18
1892,75
1893,33
1894,56
1895,14
1896,93
1897,48
1898,68
1899,62
1900,81
1901,98
1902,59
1903,7
1904,85
1905,27
1906,62
1907,19
1908,49
1909,87
1910,57
1911,13
1912,65
1913,12
1914,54
1915,36
1916,0
1917,13
1918,80
1919,18
1920,82
1921,13
1922,6
1923,0
1924,85
1925,70
1926,60
1927,46
1928,90
1929,82
1930,92
1931,5
1932,4
1933,8
1934,18
1935,19
1936,0
1937,60
1938,8
1939,0
1940,53
1941,22
1942,40
1943,14
1944,67
1945,60
1946,70
1947,93
1948,6
1949,52
1950,2
1951,19
1952,59
1953,44
1954,86
1955,96
1956,18
1957,7
1958,37
1959,32
1960,86
1961,6
1962,36
1963,86
1964,4
1965,17
1966,8
1967,80
1968,74
1969,62
1970,37
1971,66
1972,57
1973,75
1974,57
1975,52
1976,93
1977,37
1978,7
1979,75
1980,5
1981,91
1982,23
1983,5
1984,71
1985,57
1986,9
1987,8
1988,31
1989,27
1990,65
1991,0
1992,74
1993,96
1994,93
1995,68
1996,8
1997,48
1998,75
1999,44
2000,55
2001,17
2002,48
2003,53
2004,54
2005,0
2006,30
2007,12
2008,33
2009,2
2010,52
2011,57
2012,72
2013,43
2014,94
2015,87
2016,27
2017,71
2018,19
2019,54
2020,18
2021,55
2022,13
2023,83
2024,13
2025,7
2026,14
2027,44
2028,63
2029,55
2030,13
2031,83
2032,46
2033,0
2034,27
2035,99
2036,85
2037,3
2038,11
2039,64
2040,66
2041,61
2042,36
2043,10
2044,99
2045,11
2046,91
2047,52
2048,81
2049,14
2050,56
2051,37
2052,49
2053,94
2054,69
2055,87
2056,37
2057,89
2058,7
2059,7
2060,13
2061,95
2062,47
2063,92
2064,66
2065,41
2066,89
2067,64
2068,91
2069,22
2070,16
2071,0
2072,57
2073,0
2074,12
2075,86
2076,90
2077,63
2078,15
2079,95
2080,65
2081,13
2082,26
2083,8
2084,22
2085,34
2086,7
2087,74
2088,0
2089,89
2090,8
2091,87
2092,57
2093,66
2094,27
2095,89
2096,77
2097,51
2098,23
2099,25
2100,70
2101,66
2102,84
2103,48
2104,57
2105,81
2106,54
2107,96
2108,14
2109,26
2110,77
2111,57
2112,80
2113,41
2114,48
2115,68
2116,35
2117,50
2118,80
2119,9
2120,8
2121,57
2122,49
2123,69
2124,27
2125,38
2126,68
2127,17
2128,72
2129,27
2130,3
2131,3
2132,40
2133,40
2134,57
2135,56
2136,14
2137,1
2138,11
2139,81
2140,80
2141,84
2142,35
2143,56
2144,64
2145,35
2146,64
2147,31
2148,65
2149,64
2150,64
2151,46
2152,23
2153,38
2154,8
2155,50
2156,83
2157,75
2158,59
2159,0
2160,12
2161,5
2162,97
2163,92
2164,70
2165,15
2166,7
2167,98
2168,56
2169,78
2170,12
2171,66
2172,42
2173,36
2174,91
2175,16
2176,26
2177,25
2178,14
2179,94
2180,68
2181,39
2182,83
2183,99
2184,78
2185,12
2186,17
2187,50
2188,5
2189,90
2190,12
2191,81
2192,50
2193,24
2194,70
2195,6
2196,49
2197,18
2198,69
2199,64
2200,83
2201,8
2202,77
2203,18
2204,39
2205,59
2206,92
2207,8
2208,17
2209,17
2210,55
2211,70
2212,0
2213,70
2214,50
2215,25
2216,46
2217,72
2218,42
2219,18
2220,85
2221,38
2222,25
2223,66
2224,68
2225,7
2226,94
2227,51
2228,98
2229,12
2230,65
2231,55
2232,38
2233,91
2234,0
2235,25
2236,23
2237,2
2238,39
2239,23
2240,71
2241,65
2242,21
2243,14
2244,25
2245,63
2246,36
2247,1
2248,91
2249,72
2250,98
2251,57
2252,59
2253,4
2254,11
2255,82
2256,73
2257,6
2258,7
2259,57
2260,89
2261,0
2262,68
2263,37
2264,93
2265,57
2266,54
2267,50
2268,56
2269,64
2270,18
2271,4
2272,33
2273,44
2274,15
2275,75
2276,14
2277,90
2278,7
2279,38
2280,3
2281,77
2282,54
2283,35
2284,67
2285,82
2286,60
2287,71
2288,52
2289,66
2290,65
2291,46
2292,9
2293,18
2294,53
2295,75
2296,69
2297,98
2298,86
2299,0
2300,87
2301,7
2302,73
2303,6
2304,80
2305,69
2306,43
2307,65
2308,57
2309,9
2310,60
2311,9
2312,84
2313,10
2314,1
2315,68
2316,15
2317,97
2318,82
2319,64
2320,53
2321,56
2322,68
2323,97
2324,2
2325,93
2326,44
2327,55
2328,4
2329,86
2330,17
2331,74
2332,96
2333,18
2334,33
2335,46
2336,2
2337,4
2338,13
2339,15
2340,80
2341,73
2342,39
2343,98
2344,69
2345,4
2346,25
2347,97
2348,19
2349,78
2350,50
2351,35
2352,13
2353,83
2354,55
2355,51
2356,8
2357,80
2358,99
2359,40
2360,14
2361,66
2362,31
2363,5
2364,80
2365,2
2366,8
2367,37
2368,68
2369,54
2370,81
2371,24
2372,4
2373,40
2374,89
2375,22
2376,54
2377,4
2378,84
2379,56
2380,57
2381,98
2382,8
2383,6
2384,87
2385,93
2386,95
2387,80
2388,14
2389,57
2390,72
2391,98
2392,5
2393,55
2394,66
2395,18
2396,72
2397,47
2398,65
2399,97
2400,10
2401,6
2402,0
2403,6
2404,67
2405,65
2406,68
2407,8
2408,66
2409,68
2410,81
2411,52
2412,53
2413,46
2414,55
2415,77
2416,7
2417,71
2418,86
2419,74
2420,83
2421,16
2422,59
2423,7
2424,26
2425,43
2426,2
2427,93
2428,13
2429,30
2430,35
2431,35
2432,50
2433,78
2434,80
2435,0
2436,7
2437,9
2438,43
2439,21
2440,23
2441,72
2442,59
2443,5
2444,78
2445,81
2446,17
2447,15
2448,11
2449,69
2450,54
2451,18
2452,68
2453,47
2454,34
2455,24
2456,69
2457,60
2458,1
2459,68
2460,69
2461,8
2462,63
2463,9
2464,9
2465,62
2466,64
2467,3
2468,75
2469,56
2470,74
2471,74
2472,65
2473,27
2474,81
2475,23
2476,63
2477,25
2478,56
2479,57
2480,13
2481,38
2482,65
2483,60
2484,80
2485,54
2486,54
2487,89
2488,0
2489,57
2490,22
2491,82
2492,73
2493,70
2494,98
2495,60
2496,38
2497,69
2498,93
2499,74
2500,48
2501,21
2502,98
2503,5
2504,83
2505,19
2506,0
2507,2
2508,89
2509,35
2510,25
2511,54
2512,51
2513,49
2514,72
2515,48
2516,74
2517,15
2518,93
2519,47
2520,54
2521,83
2522,34
2523,93
2524,53
2525,65
2526,49
2527,52
2528,78
2529,18
2530,27
2531,42
2532,36
2533,44
2534,36
2535,60
2536,16
2537,47
2538,18
2539,48
2540,89
2541,67
2542,57
2543,89
2544,28
2545,34
2546,13
2547,0
2548,77
2549,54
2550,64
2551,4
2552,47
2553,17
2554,96
2555,7
2556,11
2557,4
2558,75
2559,5
2560,59
2561,30
2562,97
2563,39
2564,7
2565,0
2566,52
2567,57
2568,57
2569,96
2570,2
2571,94
2572,89
2573,49
2574,93
2575,5
2576,8
2577,3
2578,8
2579,31
2580,49
2581,1
2582,78
2583,57
2584,77
2585,0
2586,78
2587,2
2588,74
2589,94
2590,7
2591,91
2592,12
2593,25
2594,54
2595,65
2596,41
2597,81
2598,31
2599,67
2600,5
2601,64
2602,70
2603,35
2604,36
2605,32
2606,50
2607,37
2608,37
2609,60
2610,26
2611,69
2612,57
2613,10
2614,0
2615,0
2616,57
2617,95
2618,52
2619,44
2620,18
2621,0
2622,51
2623,37
2624,80
2625,1
2626,54
2627,30
2628,63
2629,22
2630,3
2631,41
2632,0
2633,59
2634,26
2635,55
2636,36
2637,57
2638,0
2639,7
2640,65
2641,18
2642,72
2643,48
2644,93
2645,19
2646,22
2647,80
2648,44
2649,9
2650,80
2651,8
2652,41
2653,43
2654,87
2655,18
2656,34
2657,44
2658,15
2659,0
2660,18
2661,28
2662,75
2663,46
2664,50
2665,57
2666,52
2667,92
2668,42
2669,69
2670,67
2671,0
2672,26
2673,36
2674,18
2675,52
2676,22
2677,67
2678,57
2679,84
2680,26
2681,0
2682,50
2683,68
2684,89
2685,66
2686,71
2687,93
2688,60
2689,57
2690,57
2691,48
2692,28
2693,97
2694,84
2695,3
2696,65
2697,64
2698,40
2699,6
2700,18
2701,97
2702,67
2703,1
2704,96
2705,66
2706,89
2707,67
2708,13
2709,5
2710,36
2711,54
2712,70
2713,8
2714,35
2715,62
2716,0
2717,8
2718,32
2719,28
2720,5
2721,0
2722,47
2723,28
2724,40
2725,53
2726,18
2727,49
2728,7
2729,49
2730,19
2731,31
2732,0
2733,25
2734,98
2735,87
2736,68
2737,7
2738,81
2739,51
2740,8
2741,5
2742,17
2743,5
2744,55
2745,15
2746,66
2747,93
2748,24
2749,16
2750,0
2751,64
2752,54
2753,2
2754,24
2755,67
2756,18
2757,60
2758,80
2759,95
2760,5
2761,49
2762,28
2763,44
2764,46
2765,52
2766,57
2767,28
2768,19
2769,14
2770,4
2771,92
2772,75
2773,70
2774,5
2775,60
2776,95
2777,23
2778,55
2779,17
2780,10
2781,85
2782,5
2783,85
2784,46
2785,68
2786,83
2787,73
2788,30
2789,85
2790,5
2791,49
2792,65
2793,99
2794,12
2795,47
2796,83
2797,43
2798,67
2799,96
2800,34
2801,80
2802,42
2803,72
2804,17
2805,64
2806,3
2807,64
2808,2
2809,49
2810,42
2811,26
2812,15
2813,44
2814,75
2815,64
2816,47
2817,60
2818,80
2819,8
2820,78
2821,2
2822,24
2823,5
2824,64
2825,8
2826,68
2827,31
2828,49
2829,11
2830,59
2831,22
2832,77
2833,83
2834,97
2835,17
2836,63
2837,12
2838,25
2839,7
2840,10
2841,17
2842,57
2843,31
2844,66
2845,7
2846,36
2847,17
2848,15
2849,88
2850,1
2851,68
2852,2
2853,75
2854,18
2855,22
2856,33
2857,98
2858,86
2859,87
2860,33
2861,69
2862,67
2863,18
2864,69
2865,0
2866,75
2867,17
2868,57
2869,1
2870,84
2871,67
2872,77
2873,35
2874,87
2875,64
2876,77
2877,82
2878,16
2879,96
2880,14
2881,74
2882,5
2883,30
2884,9
2885,12
2886,80
2887,24
2888,57
